key,description
d2f],erase from the current position to the second closing bracket
"d2f""",remove text from cursor to the next second quote  
"d2f""",erase content from cursor to the second upcoming double quote  
"d2f""",delete text starting at cursor until reaching the second double quote
d2f',"""remove text from cursor to the next single quote after the first""  "
d2f',"""erase content starting at cursor up to the next single quote beyond the first"""
d2f`,cut between the cursor and the second backtick  
d2f`,remove text starting at the cursor and ending before the second backtick  
d2f`,erase content from the cursor up to the second backtick
d2f<,remove everything from the cursor until you reach the second less-than sign  
d2f<,erase text starting at the cursor up to the second less-than symbol  
d2f<,delete content starting at the cursor and ending at the second less-than sign
vaw,select a word visually  
vaw,highlight a word using visual mode  
vaw,use visual mode to select a word
yaw,copy a word using yank  
yaw,use yank to copy a word
a{,highlight a block with {  
a{,choose a block using {  
a{,mark a block by using {
cab,alter inside a block bounded by {  
cab,modify content inside a block starting with {
viB,highlight the text within braces using visual mode  
viB,select content inside curly braces with visual selection  
viB,use visual mode to choose text inside {
va{,highlight the area around a block using {
va{,use { to select the text around a block visually
va(,highlight a section with parentheses  
va(,mark a text block with parentheses  
va(,choose a segment enclosed by parentheses
vi[,choose a block using []  
vi[,highlight a section with []  
vi[,mark a segment using []
vi{,highlight an area using {  
vi{,use { to mark a section
vi',highlight a section with ''  
vi',use '' to mark a text block  
vi',employ '' to choose a portion
vi`,highlight a block with ``  
vi`,mark a section with ``  
vi`,choose a block using ``
di<,highlight a section with <> and remove it  
di<,use <> to choose a section and erase it
yi<,highlight a block with <> and copy it  
yi<,mark a block with <> and yank it
yiB,yank the content inside curly braces  
yiB,copy everything within the curly braces  
yiB,grab text enclosed by curly braces
ci<,replace the content within <>
ci<,substitute the text inside <>
ci<,alter what is inside <>
no,remove content inside <>  
no,erase content within <>  
no,clear the inner text of <>
ca<,alter content within angle brackets  
ca<,modify text surrounded by angle brackets  
ca<,update inside the area defined by <>
da<,remove everything surrounding a block with <>  
da<,erase all items around a block using <>  
da<,clear the surrounding block content with <>
ya<,yank a block of text using the <> command  
ya<,use <> command to yank text around a block  
ya<,copy text within a block using <>
dF>,remove everything back to the last '>' character  
dF>,erase content up to the preceding '>' character  
dF>,wipe out text until reaching the prior '>' character
dT>,remove up to just before the last '>' character  
dT>,erase content until just before the earlier '>' symbol  
dT>,clear text back to right before the preceding '>' mark
cF>,modify up to the preceding '>' character  
cF>,alter up to the earlier '>' character
yF>,copy up to the last '>' character  
yF>,copy text back to the earlier '>' character  
yF>,yank text back to the previous '>' character
yT>,copy up to the point right before the last '>' character  
yT>,copy text until just before the last '>' symbol  
yT>,select text right up to the last '>' and prepare a copy
d?<pattern>,remove up to the last instance of <pattern>  
d?<pattern>,erase back to the earlier <pattern> occurrence  
d?<pattern>,delete back until you reach the prior <pattern>
c?<pattern>,alter content up to the last match of <pattern>  
c?<pattern>,modify until you reach the earlier instance of <pattern>  
c?<pattern>,adjust prior to the last found <pattern>
y?<pattern>,copy text up to the last time <pattern> appeared  
y?<pattern>,duplicate content leading up to the earlier <pattern>  
y?<pattern>,extract data until the last instance of <pattern>
d/<pattern>/,remove content up to the next <pattern>  
d/<pattern>/,erase text leading up to the next <pattern>  
d/<pattern>/,clear out text until reaching the next <pattern>
c/<pattern>/,modify up to the next instance of <pattern>  
c/<pattern>/,edit until the next time <pattern> appears  
c/<pattern>/,alter text until the following <pattern>
y/<pattern>,copy up to the next instance of <pattern>  
y/<pattern>,select and yank up till the next <pattern>
yab,copy the current block  
yab,duplicate the selected block  
yab,save the active block to the clipboard
yw,copy word
y2j,copy two lines below  
y2j,duplicate next two lines  
y2j,grab the next two lines
"d2F,","remove everything backward through to the second instance of ','"
"d2F,","cut from the cursor position to the second ',' backward"
"d2F,","erase back to and past the second ',' you encounter"
d3F.,remove everything backwards until and including the third '.'  
d3F.,erase all the way back to and including the third '.'  
d3F.,go backwards and delete up to and including the third '.'
d/hello,remove text up to the following 'hello' occurrence  
d/hello,cut content until you reach the next 'hello'
d?world\,remove text up to the last 'world'  
d?world\,erase content back to the previous 'world'  
d?world\,cut everything back until you reach the last 'world'
dF',remove everything up to the last single quote character  
dF',erase all content leading to the prior single quote character
dT',remove contents up to the space right before the last single quote  
dT',erase everything leading up to just before the preceding single quote character
di>,remove contents within angle brackets  
di>,erase text inside the angle brackets  
di>,delete what is inside the angle brackets
guu,transform the current line to lowercase  
guu,convert the current line to lowercase  
guu,make the current line all lowercase
guaw,convert the current word to lowercase  
guaw,turn the active word into lowercase
gu$,transform text from the cursor to the end of the line into lowercase  
gu$,make everything lowercase from the cursor to the line's end  
gu$,convert all characters from the cursor to the end of the line to lowercase
guG,convert text to lowercase from cursor to the file's end  
guG,turn all text lowercase starting at the cursor through to the end of the file  
guG,make everything lowercase from where the cursor is to the end of the file
gu0,convert the text from the cursor back to the start of the line to lowercase  
gu0,make lowercase all text from the cursor to the line's beginning  
gu0,switch text from the cursor to the start of the line to lowercase
gu2j,make the following two lines lowercase  
gu2j,convert the next two lines into lowercase  
gu2j,turn the upcoming two lines to lowercase
gui(,convert the text within matching parentheses to lowercase  
gui(,make all letters between the matching parentheses lowercase
"gui""",transform the text within double quotes to lowercase  
"gui""",convert the content inside double quotes to small letters  
"gui""",turn the text within the double quotes to lowercase
gui',alter the text within single quotes to small letters  
gui',convert the text enclosed by single quotes to lowercase  
gui',make the text between single quotes lowercase
gui{,transform the text within curly braces to lowercase  
gui{,convert the text enclosed by curly braces to lowercase  
gui{,turn the text inside the curly braces into lowercase
gui[,make the text within square brackets lowercase  
gui[,convert the text in the square brackets to lowercase  
gui[,turn the text inside the square brackets into lowercase
gui<,alter the text within angle brackets to lowercase  
gui<,convert the text surrounded by angle brackets to lowercase  
gui<,modify the text enclosed in angle brackets to lowercase
guap,transform the entire current paragraph to lowercase  
guap,convert the whole paragraph you're on to lowercase  
guap,make the paragraph you're in all lowercase
guat,transform the present HTML/XML tag to lowercase  
guat,convert the existing HTML/XML tag to lowercase  
guat,alter the current HTML/XML tag to lowercase
gu2w,make the following two words lowercase  
gu2w,convert the next two words to lowercase  
gu2w,turn the next pair of words into lowercase
3guj,turn the following three lines into lowercase  
3guj,make the next three lines all lowercase  
3guj,convert the upcoming three lines to lowercase
gUiw,convert the current word to all caps  
gUiw,make the current word entirely uppercase  
gUiw,turn the current word into uppercase letters
gUaw,convert the current word and nearby spaces to uppercase  
gUaw,transform the current word along with the adjacent whitespace to uppercase  
gUaw,turn the current word plus the surrounding spaces into uppercase
gU2w,make the next two words all capitals  
gU2w,turn the following two words into all caps  
gU2w,convert the next two words to all caps
gU$,transform text from the cursor to the end of the line into uppercase  
gU$,convert from the cursor to the end of the line to all capital letters  
gU$,make everything from the cursor to the end of the line uppercase
gU0,transform from cursor position to line start into uppercase  
gU0,convert text from cursor to start of line to uppercase  
gU0,make uppercase from where the cursor is to the beginning of the line
gUgg,transform all text from where the cursor is to the start of the file into uppercase  
gUgg,capitalize text from the current cursor position to the top of the file  
gUgg,convert text to uppercase starting from the cursor position back to the beginning of the file
gUG,transform text from the cursor to the file's end into uppercase  
gUG,convert everything from the cursor position to the end of the file to uppercase  
gUG,make the text uppercase from the cursor to the end of the file
gU2j,transform the following three lines to all caps  
gU2j,convert the upcoming three lines into uppercase  
gU2j,make the next set of three lines uppercase
gggUGG,convert the whole file to capital letters  
gggUGG,transform the complete file into uppercase  
gggUGG,make the entire document all caps
gU3w,turn the next three words into uppercase  
gU3w,convert the following three words to uppercase  
gU3w,make the next three words all uppercase
gU2b,transform the last two words into uppercase  
gU2b,turn the last two words into all capitals  
gU2b,make the preceding two words uppercase
gU2B,transform the last two words to uppercase  
gU2B,convert the two preceding words to uppercase
gU2e,transform the next two WORDS to capital letters  
gU2e,make the next two WORDS all uppercase  
gU2e,convert the next two WORDS into uppercase letters
*e,reach the end of the next instance of the current word  
*e,go to the last part of the next appearance of the current word  
*e,navigate to the end spot of the next instance of the current word
#e,navigate to the end of the last occurrence of the word under the cursor  
#e,go to the end of the earlier appearance of the word you're on  
#e,jump to the end of the prior instance of the word currently selected
*cw,alter the word you are on  
*cw,modify the word you are currently editing  
*cw,revise the word under the cursor
*yW,copy the current WORD  
*yW,duplicate the current WORD  
*yW,grab the current WORD
*p,insert the yanked or deleted content right after the cursor  
*p,add the yanked or removed content just following the cursor position  
*p,place the yanked or cut content directly after the cursor
d#,Remove text starting at the cursor back to the last occurrence of the word you are on  
d#,Erase from your position back to the previous time this word appears  
d#,Cut content from the cursor to the earlier appearance of this word
y#,Copy the text from the cursor to the last occurrence of the word under the cursor  
y#,Copy from the current position back to the last place where this word appears  
y#,Copy everything from where you are to the last time this word showed up
c#,Switch from the cursor to the last occurrence of the word under the cursor  
c#,Move from the cursor to the previous appearance of the current word  
c#,Navigate from the cursor back to the earlier instance of the current word
dgn,remove until the next search match  
dgn,erase up to the next search match
dN,remove everything up to the last search result  
dN,clear content back to the earlier search find
d3E,erase starting from here to the end of the third WORD ahead  
d3E,remove up to the end of the third WORD in front
d3j$,erase to the end of the line three lines below  
d3j$,remove everything to the line's end three lines further  
d3j$,cut to the finish of the line three lines under
d3k^,remove to the first character that isn't blank three lines above  
d3k^,erase up to the first non-space character three lines earlier  
d3k^,clear up to the first non-blank spot found three lines higher
c?pattern,modify backward up to the last instance of the pattern  
c?pattern,edit in reverse direction to the preceding point where the pattern appears
y?pattern,copy back till the last instance of the pattern  
y?pattern,duplicate text in reverse direction up to the earlier pattern occurrence
cgn,alter the next found match of the search pattern  
cgn,modify the following instance of the search pattern  
cgn,update the subsequent match of the search pattern
cgN,replace the last found instance of the search term  
cgN,alter the last matched search pattern  
cgN,modify the previous found search string
ygn,yank the upcoming instance of the search pattern  
ygn,yank the following match of the search pattern  
ygn,yank the search pattern's next match
?<pattern>,find the last instance of <pattern>  
?<pattern>,locate the prior occurrence of <pattern>  
?<pattern>,search backwards for <pattern>
%,"go to the prior matching parenthesis, bracket, or brace  "
%,"shift the cursor to the preceding matching parenthesis, bracket, or brace  "
%,"place the cursor at the earlier matching parenthesis, bracket, or brace"
N),navigate the cursor to the last sentence that matches the search pattern  
N),position the cursor at the preceding sentence with the matching search pattern  
N),shift the cursor back to the earlier sentence that fits the search pattern
ma,set a mark at the current location as 'a'  
ma,set the current spot with the mark 'a'
mb,set mark 'b' at the current location  
mb,create mark 'b' where you are now  
mb,assign the mark 'b' to your present position
mc,set a mark 'c' at the current position  
mc,place a 'c' marker at your current spot  
mc,designate the current spot with a 'c' mark
md,set a mark at current position as 'd'  
md,assign the current place a mark of 'd'  
md,label the current spot with the 'd' marker
d'a,remove text starting at current position up to the line marked 'a'
d'b,erase content from here to the line tagged 'b'  
d'b,remove text starting here up to the line labeled 'b'  
d'b,cut everything from this spot to where line 'b' is marked
y'w,yank text starting here to the line marked 'w'  
y'w,copy from here up to the line with mark 'w'  
y'w,duplicate text from this point to the line labeled 'w'
y'x,copy from where you are now to the line with the marker 'x'  
y'x,duplicate text starting here up to the line labeled 'x'  
y'x,yank text from your current spot to the line tagged 'x'
c'f,alter from your current location to the line marked 'f'  
c'f,modify starting at your spot to reach the line indicated with 'f'  
c'f,shift from where you are now to the line labeled 'f'
c'g,switch from here to the line marked 'g'  
c'g,move from current spot to the line tagged with 'g'  
c'g,alter position to the line labeled 'g'
c'a,remove text between your position and the line marked 'a' and switch to insert mode  
c'a,erase from where you are to the line tagged 'a' and go into insert mode
c`b,remove text from here to the line with mark 'b' and switch to insert mode  
c`b,erase content between this spot and line marked with 'b' then go into insert mode  
c`b,delete everything up to the line tagged 'b' and begin insert mode
`a,move to the spot marked 'a'  
`a,go to the place marked with 'a'  
`a,navigate to the location marked 'a'
d`a,remove content starting at the current spot until reaching mark 'a'  
d`a,erase material from where you are now up to the 'a' marker
c`a,alter the text from here up to where mark 'a' is placed  
c`a,modify the text starting at the current location up to the mark 'a'
y`a,copy text starting here to 'a' marked position  
y`a,select text from current spot up to position marked as 'a'
y'a,copy text from here back to the start of the line marked 'a'  
y'a,take the text from your spot to the line beginning marked 'a'  
y'a,grab the text starting here up to the beginning of the line labeled 'a'
d`a2l,remove text starting from where you are to mark 'a' and two spots further  
d`a2l,erase from your current spot to mark 'a' and go two more positions  
d`a2l,"delete starting here up to position 'a', then include two extra spots beyond it"
`c`a2l`,alter the text from where you are now to the location marked with 'a' and two steps beyond  
`c`a2l`,modify the content starting at your current spot to the mark 'a' and continuing two extra positions  
`c`a2l`,edit the text from your present location to the place marked 'a' plus two additional spots
y`a2l,copy text from where you are to the mark 'a' and go two more steps further  
y`a2l,take text starting here up to mark 'a' and continue for two more spots  
y`a2l,get text from your spot to the mark 'a' and reach two extra positions
yip,copy the inner paragraph   
yip,retrieve the inner paragraph   
yip,grab the inner paragraph
y?pattern\,copy until the last time <pattern> shows up  
y?pattern\,duplicate up to the prior instance of <pattern>  
y?pattern\,yank until the earlier occurrence of <pattern>
yH,copy text to the top of the screen  
yH,move the highlighted text to the beginning of the screen  
yH,transfer the selected text to the top line of the display
yM,copy up to the center of the screen  
yM,duplicate until the screen's halfway point  
yM,grab text to the middle area of the display
dg;,remove from the cursor position to the last modification  
dg;,erase starting at the cursor up to the most recent edit
c.`,modify text from cursor position to the point of last change  
c.`,edit from current location to where the last change was made  
c.`,update content starting at cursor to last altered point
y`.,copy from the cursor position to the final change  
y`.,duplicate text from where the cursor is to the most recent edit  
y`.,capture from the current cursor to the last modification
d3g;,remove everything from the cursor to the third last change  
d3g;,erase content starting at the cursor up to the third previous change  
d3g;,delete text from the cursor position back to the third past change
c2g;,alter from cursor to second to last edit  
c2g;,modify from cursor to the second most recent change  
c2g;,adjust from cursor to the change before the last one
y5g;,copy from cursor to the fifth last change  
y5g;,duplicate starting from cursor to the fifth previous change  
y5g;,grab text from cursor position to the fifth change back
y*,copy from current position to next instance of word under cursor and up to the most recent edit  
y*,duplicate text from the cursor position to the next match of the word under the cursor and then extend to the last modification  
y*,grab text starting at cursor to the next found word under cursor and continue to the latest change
c0g;,move from the cursor to the start of the line then go to the last change  
c0g;,"start from the cursor position, go to the line's beginning, and move to the last edit  "
c0g;,"from where the cursor is, go to the line's start and proceed to the recent change"
dggd.,remove everything from the cursor back to the start of the file and then up to the most recent change  
dggd.,erase content starting at the cursor position to the file's beginning then proceed to the last edit  
dggd.,clear text from where the cursor is back to the top of the file and then to the latest change
cHg;,move from cursor to top of screen then jump to last change  
cHg;,move cursor to top of screen and go to last change  
cHg;,navigate from cursor to screen's top and then go to last change
:%s/old/new/g,change every 'old' to 'new' throughout the file  
:%s/old/new/g,substitute all 'old' entries with 'new' in the document  
:%s/old/new/g,convert every instance of 'old' to 'new' within the file
Ctrl+o Ctrl+o,move to the jump that happened before the last jump  
Ctrl+o Ctrl+o,navigate to the earlier jump prior to the last jump  
Ctrl+o Ctrl+o,go back to the jump that occurred before the last jump
Ctrl+i Ctrl+i,move to the jump after the following jump  
Ctrl+i Ctrl+i,go to the jump after the upcoming jump  
Ctrl+i Ctrl+i,advance to the jump beyond the next jump
3Ctrl+o,go to the third last jump  
3Ctrl+o,move to the third earlier jump  
3Ctrl+o,navigate to the jump three steps back
2 Ctrl+i,move to the second subsequent jump  
2 Ctrl+i,go to the jump two spaces ahead  
2 Ctrl+i,advance to the next jump after the first one
5Ctrl+o,go to the fifth last jump  
5Ctrl+o,move to the jump that is five spots before  
5Ctrl+o,navigate to the fifth jump backward
5Ctrl+i,move forward to the fifth jump  
5Ctrl+i,navigate to the fifth upcoming jump  
5Ctrl+i,advance to reach the fifth jump ahead
10Ctrl+o,go to the tenth jump back  
10Ctrl+o,move to the tenth jump back  
10Ctrl+o,navigate to the tenth jump ago
10Ctrl+i,move to the tenth subsequent jump  
10Ctrl+i,proceed to the tenth following jump  
10Ctrl+i,advance to the tenth upcoming jump
3Ff,go back to the third occurrence of the 'f' character before the cursor  
3Ff,move to the third 'f' character that appears earlier in the text  
3Ff,navigate to the third previous location of the 'f' character
2fF,move to the second occurrence of the 'F' character ahead 
2fF,navigate to the second following 'F' character  
2fF,advance to the second 'F' character in view
mj,mark the current cursor position with 'j'  
mj,put a mark 'j' where the cursor is currently at  
mj,assign the mark 'j' to the present cursor location
mZ,mark the current cursor location with 'Z'  
mZ,place mark 'Z' at the cursor's current spot  
mZ,assign the mark 'Z' to the present cursor position
":.,'ac",modify text from this line to the line marked 'a'  
":.,'ac",replace content from the current line to the line with mark 'a'  
":.,'ac",update the text starting from this line to where mark 'a' is located
g;,navigate to the most recent change
gv,move to the final visual selection  
gv,navigate to the end of the visual selection  
gv,go to the previous visual selection location
``,return to last position  
``,navigate back to earlier spot  
``,go back to the former location
d2t',remove up to the next ' but not including it  
d2t',cut to the second ' character without selecting it  
d2t',erase contents until the second ' appears but leave ' itself
d?hello\,remove text backward up to the first 'hello'  
d?hello\,cut backward to the initial 'hello'  
d?hello\,erase in reverse until reaching the first 'hello'
"g,",go to the latest change position  
"g,",navigate to the recent edit location  
"g,",jump to the newest change spot
yg;,copy text from here back to last edit  
yg;,duplicate text from this point to last modification  
yg;,extract content from where you are to the previous change
gP,insert text prior to cursor from last modification  
gP,add text in front of cursor from the most recent edit  
gP,place text ahead of cursor from the previous change
3w,advance three words  
3w,go forward by three words  
3w,proceed through three words
d3B,erase 3 WORDS in reverse  
d3B,remove 3 WORDS going backward  
d3B,delete the last 3 WORDS
3x,remove 3 characters ahead  
3x,erase 3 characters coming up  
3x,clear out 3 characters in front
d3h,remove 3 characters in reverse  
d3h,erase 3 characters from behind  
d3h,delete the last 3 characters
qb,initiate recording a macro in register 'b'  
qb,begin capturing keystrokes to macro register 'b'  
qb,set macro recording to begin with register 'b'
q1,begin capturing macro in register '1'  
q1,initiate macro recording in register '1'  
q1,record a macro to register '1'
qa10wq,create a macro that moves the cursor forward 10 words  
qa10wq,make a macro to advance the cursor by 10 words  
qa10wq,set up a macro to shift the cursor 10 words forward
qac$jjq,create a macro to modify from the cursor to the end of this line and the two lines after  
qac$jjq,capture a macro to alter starting at the cursor to the end of this line and continue through the next two lines  
qac$jjq,create a macro for editing from where the cursor is located to the line's end and the following two lines
qay$2jyq,start recording a macro to yank from the cursor position to the end of this line and the following two lines  
qay$2jyq,create a macro to yank text from the cursor to the end of the current line and the next two lines  
qay$2jyq,begin a macro to yank from where the cursor is to the end of this line and the two lines after it
2dW,remove two WORDS  
2dW,erase two WORDS  
2dW,cut two WORDS
"d3f,",remove up to the third comma in the line  
"d3f,",erase everything to the third comma in the line  
"d3f,",cut text leading to the third comma in the line
"d3t,",remove text up to just before the third comma in the line  
"d3t,",cut content until immediately before the third comma on the line  
"d3t,",erase characters up to just in front of the third comma in the line
"d3F,",remove up to the third comma from the end of the line  
"d3F,",erase content until reaching the third comma counted from the right on the line  
"d3F,",cut text to the third comma moving from the right end of the line
"d3T,",Remove the text up to just before the third comma from the right on the line  
"d3T,",Cut everything until just before the third comma counting from the line's end  
"d3T,",Erase content to just before the third rightmost comma on the line
d3),remove the next three sentences  
d3),cut forward three sentences  
d3),erase the following three sentences
d3(,remove three sentences in a backward direction  
d3(,erase the last three sentences before this point  
d3(,delete the previous three sentences
d3{,remove three paragraphs in the reverse direction  
d3{,erase three paragraphs going backward  
d3{,clear the last three paragraphs behind the current position
d3k,remove three lines going back from the current line  
d3k,go back three lines and delete them starting from the active line  
d3k,erase three lines in reverse from where you are currently
d3Ctrl+D,remove three half-screens below  
d3Ctrl+D,erase three half-screens down  
d3Ctrl+D,cut three half-screens forward
d3Ctrl+U,remove three half-screens going up  
d3Ctrl+U,erase three half-screens in the upward direction  
d3Ctrl+U,cut three half-screens moving up
d3Ctrl+F,remove three entire screens below  
d3Ctrl+F,clear three whole screens downward  
d3Ctrl+F,erase three complete screens beneath
d3Ctrl+B,delete three entire screens above  
d3Ctrl+B,remove three complete screens upward  
d3Ctrl+B,erase three whole screens up
