key,description
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
di(,delete inside parentheses
di[,delete inside square brackets
di{,delete inside curly braces
di<,delete inside angle brackets
di>,delete inside angle brackets
di[,delete inside square brackets
"di""",delete inside double quotes
di',delete inside single quotes
guu,change the current line to lowercase
guw,change the current word to lowercase
gu$,change from the cursor to the end of the line to lowercase
guG,change from the cursor to the end of the file to lowercase
gu0,change from the cursor to the beginning of the line to lowercase
gu2j,change the next two lines to lowercase
gu%,change the text between matching parentheses to lowercase
"gu""",change the text inside double quotes to lowercase
gu',change the text inside single quotes to lowercase
gu(,change the text inside parentheses to lowercase
gu{,change the text inside curly braces to lowercase
gu[,change the text inside square brackets to lowercase
gu<,change the text inside angle brackets to lowercase
guaw,change the current word and surrounding whitespace to lowercase
guap,change the current paragraph to lowercase
guat,change the current HTML/XML tag to lowercase
gu2w,change the next two words to lowercase
gu3j,change the next three lines to lowercase
gUiw,change the current word to uppercase
gUaw,change the current word and surrounding whitespace to uppercase
gU2w,change the next two words to uppercase
gU$,change from the cursor to the end of the line to uppercase
gU0,change from the cursor to the beginning of the line to uppercase
gUgg,change from the cursor to the beginning of the file to uppercase
gUGG,change from the cursor to the end of the file to uppercase
gU3j,change the next three lines to uppercase
gU%,change the entire file to uppercase
gU3w,change the next three words to uppercase
gU2b,change the previous two words to uppercase
gU2e,change the next two words to uppercase
gU2B,change the previous two words to uppercase
gU2E,change the next two words to uppercase
gU2W,change the previous two WORDS to uppercase
gU2E,change the next two WORDS to uppercase
gU2B,change the previous two WORDS to uppercase
*,jump to the next instance of the current word
*w,move to the beginning of the next occurrence of the current word
*e,move to the end of the next occurrence of the current word
*b,move to the beginning of the previous occurrence of the current word
*ge,move to the end of the previous occurrence of the current word
*f<char>,move to the next occurrence of the character under the cursor in the current line
*t<char>,move to just before the next occurrence of the character under the cursor in the current line
*F<char>,move to the previous occurrence of the character under the cursor in the current line
*T<char>,move to just before the previous occurrence of the character under the cursor in the current line
*d,delete the current word
*dw,delete the current word
*dW,delete the current WORD
*dd,delete the current line
*c,change the current word
*cw,change the current word
*cW,change the current WORD
*cc,change the current line
*y,yank (copy) the current word
*yw,yank the current word
*yW,yank the current WORD
*yy,yank the current line
*p,paste the yanked or deleted content after the cursor
*P,paste the yanked or deleted content before the cursor
#,Jump to previous instance of the current word
d#,Delete from the cursor to the previous instance of the current word
y#,Yank from the cursor to the previous instance of the current word
c#,Change from the cursor to the previous instance of the current word
d#d,Delete the current line and the previous instance of the current word
y#y,Yank the current line and the previous instance of the current word
c#c,Change the current line and the previous instance of the current word
d#p,Delete from the cursor to the previous instance of the current word and paste it after the cursor
y#P,Yank from the cursor to the previous instance of the current word and paste it before the cursor
d#u,Delete from the cursor to the previous instance of the current word and undo the change
y#U,Yank from the cursor to the previous instance of the current word and redo the change
d#r,Delete from the cursor to the previous instance of the current word and replace the deleted text with 'r'
y#s,Yank from the cursor to the previous instance of the current word and substitute the yanked text with 's'
d#f,Delete from the cursor to the previous instance of the current word and find the next occurrence of 'f'
y#t,Yank from the cursor to the previous instance of the current word and move the cursor to just before the next occurrence of 't'
d#g~,Delete from the cursor to the previous instance of the current word and swap the case of the deleted text
y#gu,Yank from the cursor to the previous instance of the current word and convert the yanked text to lowercase
c#gU,Change from the cursor to the previous instance of the current word and convert the changed text to uppercase
dw,delete word
dW,delete WORD
db,delete backward word
dB,delete backward WORD
de,delete to end of word
dE,delete to end of WORD
d$,delete to end of line
d0,delete to beginning of line
d^,delete to first non-blank character of line
dgg,delete to beginning of file
dG,delete to end of file
dgn,delete to next search match
dgN,delete to previous search match
d3w,delete three words forward
d3b,delete three words backward
d3e,delete to end of third word forward
d3E,delete to end of third WORD forward
d3$,delete to end of line three lines down
d3^,delete to first non-blank character of line three lines up
?pattern,search backward for the specified pattern
d?pattern,delete backward until the previous occurrence of the pattern
c?pattern,change backward until the previous occurrence of the pattern
y?pattern,yank backward until the previous occurrence of the pattern
?pattern?pattern,search backward for the first pattern and forward for the second pattern
?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, and backward for the third pattern"
?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, and forward for the fourth pattern"
?pattern?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, forward for the fourth pattern, and backward for the fifth pattern"
?pattern?pattern?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, forward for the fourth pattern, backward for the fifth pattern, and forward for the sixth pattern"
?pattern?pattern?pattern?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, forward for the fourth pattern, backward for the fifth pattern, forward for the sixth pattern, and backward for the seventh pattern"
?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, forward for the fourth pattern, backward for the fifth pattern, forward for the sixth pattern, backward for the seventh pattern, and forward for the eighth pattern"
?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, forward for the fourth pattern, backward for the fifth pattern, forward for the sixth pattern, backward for the seventh pattern, forward for the eighth pattern, and backward for the ninth pattern"
?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, forward for the fourth pattern, backward for the fifth pattern, forward for the sixth pattern, backward for the seventh pattern, forward for the eighth pattern, backward for the ninth pattern, and forward for the tenth pattern"
?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, forward for the fourth pattern, backward for the fifth pattern, forward for the sixth pattern, backward for the seventh pattern, forward for the eighth pattern, backward for the ninth pattern, forward for the tenth pattern, and backward for the eleventh pattern"
?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, forward for the fourth pattern, backward for the fifth pattern, forward for the sixth pattern, backward for the seventh pattern, forward for the eighth pattern, backward for the ninth pattern, forward for the tenth pattern, backward for the eleventh pattern, and forward for the twelfth pattern"
?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, forward for the fourth pattern, backward for the fifth pattern, forward for the sixth pattern, backward for the seventh pattern, forward for the eighth pattern, backward for the ninth pattern, forward for the tenth pattern, backward for the eleventh pattern, forward for the twelfth pattern, and backward for the thirteenth pattern"
?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern?pattern,"search backward for the first pattern, forward for the second pattern, backward for the third pattern, forward for the fourth pattern, backward for the fifth pattern, forward for the sixth pattern, backward for the seventh pattern, forward for the eighth pattern, backward for the ninth pattern, forward for the tenth pattern, backward for the eleventh pattern, forward for the twelfth pattern, backward for the thirteenth pattern, and forward for the fourteenth pattern"
n,repeat the search in the same direction
N,repeat the search in the opposite direction
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
cgn,change the next occurrence of the search pattern
cN,change the previous occurrence of the search pattern
ygn,yank the next occurrence of the search pattern
yN,yank the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
dgn,delete the next occurrence of the search pattern
dN,delete the previous occurrence of the search pattern
N,repeat the search in the opposite direction
dN,delete the previous occurrence of the search pattern
Nw,move the cursor to the previous word matching the search pattern
dN$,delete from the cursor position to the end of the previous matching line
Nf<char>,move the cursor to the previous occurrence of <char>
dNf<char>,delete from the cursor position to the previous occurrence of <char>
N/<pattern>,search for the previous occurrence of <pattern>
dN/<pattern>,delete from the cursor position to the previous occurrence of <pattern>
Ngg,move the cursor to the previous line matching the search pattern
dNgg,delete from the cursor position to the previous line matching the search pattern
N%,"move the cursor to the previous matching parenthesis, bracket, or brace"
dN%,"delete from the cursor position to the previous matching parenthesis, bracket, or brace"
N),move the cursor to the previous sentence matching the search pattern
dN),delete from the cursor position to the previous sentence matching the search pattern
ma,mark text using character mode (from a to z)
mb,mark text using character mode (from a to z)
mc,mark text using character mode (from a to z)
md,mark text using character mode (from a to z)
me,mark text using character mode (from a to z)
mf,mark text using character mode (from a to z)
mg,mark text using character mode (from a to z)
mh,mark text using character mode (from a to z)
mi,mark text using character mode (from a to z)
mj,mark text using character mode (from a to z)
mk,mark text using character mode (from a to z)
ml,mark text using character mode (from a to z)
mm,mark text using character mode (from a to z)
mn,mark text using character mode (from a to z)
mo,mark text using character mode (from a to z)
mp,mark text using character mode (from a to z)
mq,mark text using character mode (from a to z)
mr,mark text using character mode (from a to z)
ms,mark text using character mode (from a to z)
ma,mark current position as 'a'
mb,mark current position as 'b'
mc,mark current position as 'c'
md,mark current position as 'd'
me,mark current position as 'e'
mf,mark current position as 'f'
mg,mark current position as 'g'
mh,mark current position as 'h'
mi,mark current position as 'i'
mj,mark current position as 'j'
mk,mark current position as 'k'
ml,mark current position as 'l'
mm,mark current position as 'm'
mn,mark current position as 'n'
mo,mark current position as 'o'
mp,mark current position as 'p'
mq,mark current position as 'q'
mr,mark current position as 'r'
ms,mark current position as 's'
mt,mark current position as 't'
mu,mark current position as 'u'
mv,mark current position as 'v'
mw,mark current position as 'w'
mx,mark current position as 'x'
my,mark current position as 'y'
mz,mark current position as 'z'
d'a,delete from current position to line marked 'a'
d'b,delete from current position to line marked 'b'
d'c,delete from current position to line marked 'c'
d'd,delete from current position to line marked 'd'
d'e,delete from current position to line marked 'e'
d'f,delete from current position to line marked 'f'
d'g,delete from current position to line marked 'g'
d'h,delete from current position to line marked 'h'
d'i,delete from current position to line marked 'i'
d'j,delete from current position to line marked 'j'
d'k,delete from current position to line marked 'k'
d'l,delete from current position to line marked 'l'
d'm,delete from current position to line marked 'm'
d'n,delete from current position to line marked 'n'
d'o,delete from current position to line marked 'o'
d'p,delete from current position to line marked 'p'
d'q,delete from current position to line marked 'q'
d'r,delete from current position to line marked 'r'
d's,delete from current position to line marked 's'
d't,delete from current position to line marked 't'
d'u,delete from current position to line marked 'u'
d'v,delete from current position to line marked 'v'
d'w,delete from current position to line marked 'w'
d'x,delete from current position to line marked 'x'
d'y,delete from current position to line marked 'y'
d'z,delete from current position to line marked 'z'
y'a,yank from current position to line marked 'a'
y'b,yank from current position to line marked 'b'
y'c,yank from current position to line marked 'c'
y'd,yank from current position to line marked 'd'
y'e,yank from current position to line marked 'e'
y'f,yank from current position to line marked 'f'
y'g,yank from current position to line marked 'g'
y'h,yank from current position to line marked 'h'
y'i,yank from current position to line marked 'i'
y'j,yank from current position to line marked 'j'
y'k,yank from current position to line marked 'k'
y'l,yank from current position to line marked 'l'
y'm,yank from current position to line marked 'm'
y'n,yank from current position to line marked 'n'
y'o,yank from current position to line marked 'o'
y'p,yank from current position to line marked 'p'
y'q,yank from current position to line marked 'q'
y'r,yank from current position to line marked 'r'
y's,yank from current position to line marked 's'
y't,yank from current position to line marked 't'
y'u,yank from current position to line marked 'u'
y'v,yank from current position to line marked 'v'
y'w,yank from current position to line marked 'w'
y'x,yank from current position to line marked 'x'
y'y,yank from current position to line marked 'y'
y'z,yank from current position to line marked 'z'
c'a,change from current position to line marked 'a'
c'b,change from current position to line marked 'b'
c'c,change from current position to line marked 'c'
c'd,change from current position to line marked 'd'
c'e,change from current position to line marked 'e'
c'f,change from current position to line marked 'f'
c'g,change from current position to line marked 'g'
c'h,change from current position to line marked 'h'
c'i,change from current position to line marked 'i'
c'j,change from current position to line marked 'j'
c'k,change from current position to line marked 'k'
c'l,change from current position to line marked 'l'
c'm,change from current position to line marked 'm'
c'n,change from current position to line marked 'n'
c'o,change from current position to line marked 'o'
c'p,change from current position to line marked 'p'
c'q,change from current position to line marked 'q'
c'r,change from current position to line marked 'r'
c's,change from current position to line marked 's'
c't,change from current position to line marked 't'
c'u,change from current position to line marked 'u'
c'v,change from current position to line marked 'v'
c'w,change from current position to line marked 'w'
c'x,change from current position to line marked 'x'
c'y,change from current position to line marked 'y'
c'z,change from current position to line marked 'z'
d'a,delete from current position to line marked 'a' and enter insert mode
d'b,delete from current position to line marked 'b' and enter insert mode
d'c,delete from current position to line marked 'c' and enter insert mode
d'd,delete from current position to line marked 'd' and enter insert mode
d'e,delete from current position to line marked 'e' and enter insert mode
d'f,delete from current position to line marked 'f' and enter insert mode
d'g,delete from current position to line marked 'g' and enter insert mode
d'h,delete from current position to line marked 'h' and enter insert mode
d'i,delete from current position to line marked 'i' and enter insert mode
ma,set mark 'a' at current cursor position
`a,jump to position marked 'a'
d`a,delete text from current position to position marked 'a'
c`a,change text from current position to position marked 'a'
y`a,yank text from current position to position marked 'a'
d'a,delete text from current position to beginning of line marked 'a'
c'a,change text from current position to beginning of line marked 'a'
y'a,yank text from current position to beginning of line marked 'a'
d2`a,delete text from current position to position marked 'a' plus two more positions ahead
c2`a,change text from current position to position marked 'a' plus two more positions ahead
y2`a,yank text from current position to position marked 'a' plus two more positions ahead
d3'a,delete text from current position to beginning of line marked 'a' plus two more lines ahead
c3'a,change text from current position to beginning of line marked 'a' plus two more lines ahead
y3'a,yank text from current position to beginning of line marked 'a' plus two more lines ahead
d`a2,delete text from current position to position marked 'a' plus two more positions ahead
c`a2,change text from current position to position marked 'a' plus two more positions ahead
y`a2,yank text from current position to position marked 'a' plus two more positions ahead
d'a2,delete text from current position to beginning of line marked 'a' plus two more lines ahead
c'a2,change text from current position to beginning of line marked 'a' plus two more lines ahead
y'a2,yank text from current position to beginning of line marked 'a' plus two more lines ahead
ya,yank text to position marked >a>
y$,yank to end of line
y0,yank to beginning of line
yw,yank current word
yW,yank current WORD
ye,yank to end of current word
yE,yank to end of current WORD
yiw,yank inner word
yiW,yank inner WORD
yip,yank inner paragraph
yI,"yank inner block (e.g., parentheses, brackets, braces)"
yF<char>,yank to previous occurrence of <char> in current line
yT<char>,yank to just before previous occurrence of <char> in current line
y/<pattern>,yank up to the next occurrence of <pattern>
y?pattern,yank up to the previous occurrence of <pattern>
yG,yank to end of file
ygg,yank to beginning of file
yH,yank to top of screen
yM,yank to middle of screen
yL,yank to bottom of screen
y3j,yank the next three lines
`.,`: jump to last change in file
`d.`,delete from cursor to last change
`c.`,change from cursor to last change
`y.`,yank from cursor to last change
`d3.`,delete from cursor to third last change
`c2.`,change from cursor to second last change
`y5.`,yank from cursor to fifth last change
`d/word/.`,delete from cursor to next occurrence of 'word' and then to last change
`c?pattern/.`,change from cursor to previous match of 'pattern' and then to last change
`y*.`,yank from cursor to next occurrence of word under cursor and then to last change
`d$.`,delete from cursor to end of line and then to last change
`c0.`,change from cursor to beginning of line and then to last change
`yG.`,yank from cursor to end of file and then to last change
`dgg.`,delete from cursor to beginning of file and then to last change
`cH.`,change from cursor to top of screen and then to last change
`yL.`,yank from cursor to bottom of screen and then to last change
`d%/function/.`,delete from cursor to matching parenthesis and then to last change
0,jump to position where Vim was last exited
gg,go to the beginning of the file
G,go to the end of the file
dd,delete the current line
yy,yank (copy) the current line
p,paste the yanked or deleted content after the cursor
u,undo the last change
Ctrl+r,redo the undone change
/pattern,search for 'pattern' in the file
n,move to the next occurrence of the search pattern
N,move to the previous occurrence of the search pattern
,%s/old/new/g: replace all occurrences of 'old' with 'new' in the file
Ctrl+f,scroll forward one page
Ctrl+b,scroll backward one page
Ctrl+d,scroll forward half a page
Ctrl+u,scroll backward half a page
H,move the cursor to the top of the screen
M,move the cursor to the middle of the screen
L,move the cursor to the bottom of the screen
Ctrl-o,jump to previous jump
Ctrl-i,jump to next jump
Ctrl-o Ctrl-o,jump to the jump before the previous jump
Ctrl-i Ctrl-i,jump to the jump after the next jump
Ctrl-o 3,jump to the third previous jump
Ctrl-i 2,jump to the second next jump
Ctrl-o 0,jump to the first jump
Ctrl-i 0,jump to the last jump
Ctrl-o 5G,jump to the fifth previous jump
Ctrl-i 5G,jump to the fifth next jump
Ctrl-o gg,jump to the first previous jump
Ctrl-i G,jump to the last next jump
Ctrl-o 10j,jump to the tenth previous jump
Ctrl-i 10k,jump to the tenth next jump
Ctrl-o 3w,jump to the third previous word
Ctrl-i 2b,jump to the second next word
Ctrl-o 0e,jump to the first previous end of word
Ctrl-i 0W,jump to the last next WORD
Ctrl-o 3f,jump to the third previous 'f' character
Ctrl-i 2F,jump to the second next 'F' character
ma,set mark 'a' at current cursor position
mb,set mark 'b' at current cursor position
mc,set mark 'c' at current cursor position
md,set mark 'd' at current cursor position
me,set mark 'e' at current cursor position
mf,set mark 'f' at current cursor position
mg,set mark 'g' at current cursor position
mh,set mark 'h' at current cursor position
mi,set mark 'i' at current cursor position
mj,set mark 'j' at current cursor position
mk,set mark 'k' at current cursor position
ml,set mark 'l' at current cursor position
mm,set mark 'm' at current cursor position
mn,set mark 'n' at current cursor position
mo,set mark 'o' at current cursor position
mp,set mark 'p' at current cursor position
mq,set mark 'q' at current cursor position
mr,set mark 'r' at current cursor position
ms,set mark 's' at current cursor position
mt,set mark 't' at current cursor position
mu,set mark 'u' at current cursor position
mv,set mark 'v' at current cursor position
mw,set mark 'w' at current cursor position
mx,set mark 'x' at current cursor position
my,set mark 'y' at current cursor position
mz,set mark 'z' at current cursor position
M,set mark 'M' at current cursor position
N,set mark 'N' at current cursor position
O,set mark 'O' at current cursor position
P,set mark 'P' at current cursor position
Q,set mark 'Q' at current cursor position
R,set mark 'R' at current cursor position
S,set mark 'S' at current cursor position
T,set mark 'T' at current cursor position
U,set mark 'U' at current cursor position
V,set mark 'V' at current cursor position
W,set mark 'W' at current cursor position
X,set mark 'X' at current cursor position
Y,set mark 'Y' at current cursor position
Z,set mark 'Z' at current cursor position
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
c'a,change text from current line to line of mark 'a'
c'a,change text from current cursor position to position of mark 'a'
y'a,yank text to unnamed buffer from cursor to position of mark 'a'
d'a,delete from current line to line of mark 'a'
d'a,delete from current cursor position to position of mark 'a'
Ctrl-o,jump to previous location
Ctrl-i,jump to next location
'.',jump to last change
`<`,jump to last visual selection
`[`,jump to last change or yank
``,jump to previous location
Ctrl-o 3,jump back three locations
Ctrl-i 2,jump forward two locations
Ctrl-o;,jump to previous location in the same file
Ctrl-i;,jump to next location in the same file
"Ctrl-o, Ctrl-i",toggle between two locations
"Ctrl-o, Ctrl-i, Ctrl-o",cycle through jump list
"Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i",cycle through jump list
"Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i, Ctrl-o",cycle through jump list
"Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i",cycle through jump list
"Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i, Ctrl-o",cycle through jump list
"Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i, Ctrl-o, Ctrl-i",cycle through jump list
